Total examples with errors: 249 out of 253 (98.42%)

Example 0:
Sentence: Systems supporting OM must provide the ability to publish investigation - specific questionnaires and implementation guides .
Tokens with errors (true -> predicted):
  **Systems (O -> B-actor)**
  supporting (O -> O)
  **OM (O -> B-actor)**
  must (O -> O)
  **provide (O -> B-usecase)**
  the (O -> O)
  ability (O -> O)
  to (O -> O)
  **publish (O -> B-usecase)**
  **investigation (O -> I-usecase)**
  - (O -> O)
  specific (O -> O)
  questionnaires (O -> O)
  and (O -> O)
  implementation (O -> O)
  guides (O -> O)
  . (O -> O)

Example 1:
Sentence: The system shall encrypt all sensitive information via https .
Tokens with errors (true -> predicted):
  The (O -> O)
  system (O -> O)
  shall (O -> O)
  **encrypt (O -> B-usecase)**
  all (O -> O)
  sensitive (O -> O)
  information (O -> O)
  via (O -> O)
  https (O -> O)
  . (O -> O)

Example 2:
Sentence: " About Window " is displayed . The " About Windows " is composed of the following text " Qheadache 1.0 by JeanPhilippe Brossat jp_brossat@yahoo.fr "
Tokens with errors (true -> predicted):
  " (O -> O)
  About (O -> O)
  **Window (O -> B-actor)**
  " (O -> O)
  **is (O -> B-usecase)**
  **displayed (O -> I-usecase)**
  . (O -> O)
  The (O -> O)
  " (O -> O)
  About (O -> O)
  **Windows (O -> B-actor)**
  " (O -> O)
  **is (O -> B-usecase)**
  **composed (O -> I-usecase)**
  of (O -> O)
  the (O -> O)
  following (O -> O)
  text (O -> O)
  " (O -> O)
  **Qheadache (O -> B-actor)**
  1.0 (O -> O)
  by (O -> O)
  **JeanPhilippe (O -> B-actor)**
  **Brossat (O -> I-actor)**
  jp_brossat@yahoo.fr (O -> O)
  **" (O -> B-actor)**

Example 3:
Sentence: The first is related to passing information to provide an association between a mobile ’s subscriber number and its functional number . The latter is concerned with ensuring that calls from a mobile terminal ( in particular , Cab radios ) are routed to the correct destination ( ie primary controller , secondary controller ) , based on the current location of the mobile . ( I )
Tokens with errors (true -> predicted):
  The (O -> O)
  first (O -> O)
  **is (O -> B-usecase)**
  **related (O -> I-usecase)**
  to (O -> O)
  passing (O -> O)
  information (O -> O)
  to (O -> O)
  **provide (O -> B-usecase)**
  an (O -> O)
  association (O -> O)
  between (O -> O)
  a (O -> O)
  mobile (O -> O)
  ’s (O -> O)
  subscriber (O -> O)
  number (O -> O)
  and (O -> O)
  its (O -> O)
  functional (O -> O)
  number (O -> O)
  . (O -> O)
  The (O -> O)
  latter (O -> O)
  is (O -> O)
  **concerned (O -> B-usecase)**
  **with (O -> I-usecase)**
  ensuring (O -> O)
  that (O -> O)
  **calls (B-usecase -> O)**
  **from (O -> B-usecase)**
  a (O -> O)
  mobile (O -> O)
  terminal (O -> O)
  ( (O -> O)
  in (O -> O)
  particular (O -> O)
  , (O -> O)
  Cab (O -> O)
  **radios (O -> B-actor)**
  ) (O -> O)
  are (O -> O)
  **routed (O -> B-usecase)**
  **to (O -> I-usecase)**
  the (O -> O)
  correct (O -> O)
  destination (O -> O)
  ( (O -> O)
  ie (O -> O)
  primary (O -> O)
  controller (O -> O)
  , (O -> O)
  secondary (O -> O)
  controller (O -> O)
  ) (O -> O)
  , (O -> O)
  based (O -> O)
  **on (O -> B-usecase)**
  the (O -> O)
  current (O -> O)
  location (O -> O)
  of (O -> O)
  the (O -> O)
  mobile (O -> O)
  . (O -> O)
  ( (O -> O)
  I (O -> O)
  ) (O -> O)

Example 4:
Sentence: The network shall send the SET - PARAMETER message with the attribute “ D - ATT = T”1 [ EN 301 515 , Index [ 6 ] ] to the mobile station of the talking subscriber if it receives the 3- digit sequence “ # # # ” transmitted via DTMF or the group call SETUP message2 from a controller terminal . However , receiving the 3 - digit sequence “ # # # ” or the group call SETUP message related to an additional controller while any other controller is talking shall not result in sending another SET - PARAMETER message with the attribute “ DATT = T ” . ( M )
Tokens with errors (true -> predicted):
  The (O -> O)
  network (O -> O)
  shall (O -> O)
  **send (O -> B-usecase)**
  the (O -> O)
  **SET (O -> B-actor)**
  - (O -> O)
  PARAMETER (O -> O)
  message (O -> O)
  with (O -> O)
  the (O -> O)
  attribute (O -> O)
  **“ (O -> B-actor)**
  **D (O -> I-actor)**
  - (O -> O)
  **ATT (O -> B-actor)**
  **= (O -> I-actor)**
  **T”1 (O -> I-actor)**
  **[ (O -> B-usecase)**
  EN (O -> O)
  **301 (O -> B-actor)**
  **515 (O -> I-actor)**
  , (O -> O)
  Index (O -> O)
  [ (O -> O)
  **6 (O -> B-actor)**
  **] (O -> B-usecase)**
  ] (O -> O)
  **to (O -> B-actor)**
  the (O -> O)
  mobile (O -> O)
  station (O -> O)
  of (O -> O)
  the (O -> O)
  talking (O -> O)
  subscriber (O -> O)
  if (O -> O)
  it (O -> O)
