,entity_group,score,word,start,end
0,class,0.7892016,patients,30,39
1,class,0.5100079,form,127,132
2,attr,0.9382857,name,146,151
3,attr,0.9777044,address,152,160
4,attr,0.98092955,telephone numbers,161,179
5,attr,0.9541366,allergies,180,190
6,attr,0.8881884,state of mind,195,209
7,attr,0.4992435,Schedules,254,264
8,class,0.60416055,appointment book,291,308
9,class,0.69838446,patient records,309,325
10,attr,0.97263163,contact information,336,356
11,class,0.58253103,Appointments,382,395
12,class,0.66909385,procedure,540,550
13,class,0.77908766,patient,554,562
14,class,0.7766265,patients,738,747
15,attr,0.769608,contact addresses,748,766
16,class,0.8304098,patient,772,780
17,class,0.6555044,clinic,848,855
18,class,0.5620854,supplies inventory,867,886
19,class,0.44171762,procedures,970,981
20,class,0.34817588,rooms,981,987
