,entity_group,score,word,start,end
0,class,0.3988322,admitted,8,17
1,class,0.96493727,animal,17,24
2,attr,0.74245095,name,29,34
3,attr,0.9901624,breed,35,41
4,attr,0.88768417,owner,54,60
5,class,0.91673666,animal,81,88
6,attr,0.5498757,identifier,122,133
7,attr,0.5988829,owner,143,149
8,attr,0.47152835,name,154,159
9,attr,0.9505058,address,160,168
10,attr,0.975551,phone number,172,185
11,class,0.5927828,appointement,284,297
12,class,0.91626877,physician,322,332
13,class,0.62241,appoint,337,345
14,attr,0.9347664,date,370,375
15,class,0.9550095,animal,408,415
16,class,0.5275401,owner,434,440
17,class,0.9330164,physician,451,461
18,attr,0.5596628,name,466,471
19,attr,0.9567262,address,472,480
20,attr,0.9798871,phone number,484,497
21,class,0.5957137,condition,596,606
22,attr,0.9203662,common name,612,624
23,attr,0.9593618,scientific name,630,646
24,attr,0.35752982,conditions,712,723
25,attr,0.72583455,breed,742,748
26,class,0.9149281,database,755,764
