,entity_group,score,word,start,end
0,attr,0.72234464,storeID,9,17
1,class,0.91424894,store,33,39
2,class,0.8861014,store,74,80
3,attr,0.67238235,store address,87,101
4,attr,0.9108044,phone number,105,118
5,attr,0.7282274,employee ID,122,134
6,class,0.9093008,employee,150,159
7,class,0.9472167,employee,192,201
8,class,0.76155406,employee,208,217
9,attr,0.6090932,name,219,224
10,attr,0.9202769,address,225,233
11,attr,0.94354355,phone number,238,251
12,class,0.9243273,employee,257,266
13,attr,0.8808981,phone numbers,303,317
14,class,0.8939864,employee,323,332
15,attr,0.9272599,phone number,334,347
16,attr,0.9194611,phone number type,366,384
17,attr,0.70694923,office phone number,396,416
18,attr,0.7214276,home phone number,417,435
19,attr,0.8345875,beeper number,436,450
20,class,0.91335434,employee,461,470
21,attr,0.4833568,type,491,496
22,class,0.8301401,employee,499,508
23,class,0.4850468,employee,547,556
24,attr,0.9483043,type,556,561
25,class,0.88967806,employees,622,632
26,attr,0.65053916,titles,670,677
27,attr,0.84668314,title ID,682,691
28,class,0.509251,title,724,730
29,attr,0.8510623,title,743,749
30,attr,0.55107486,name,751,756
31,attr,0.9380901,run time,757,766
32,attr,0.9234129,rating,792,799
33,class,0.87484485,distributors,848,861
34,attr,0.7343653,distributor ID,864,879
35,class,0.9476672,distributor,911,923
36,class,0.7758919,distributor,936,948
37,attr,0.57266265,name,950,955
38,attr,0.88031197,phone number,959,972
39,class,0.8568338,stores,978,985
40,class,0.92005116,store,1006,1012
41,class,0.66434556,cassette,1052,1061
42,attr,0.93231297,cartridge ID number,1094,1114
43,class,0.9374479,cartridge,1130,1140
44,attr,0.82449514,cartridge utilization count,1143,1171
45,class,0.8842758,cartridge,1199,1209
46,attr,0.80090845,cartridge status,1212,1229
47,class,0.9123768,cartridge,1245,1255
48,class,0.5528287,cartridge,1270,1280
49,attr,0.79090744,status,1280,1287
50,attr,0.596223,Rented,1304,1310
51,attr,0.9358233,status type,1328,1340
52,class,0.89771175,cartridges,1358,1369
53,attr,0.84098643,customer ID,1379,1391
54,class,0.9445786,customer,1407,1416
55,class,0.9448385,customer,1462,1471
56,attr,0.5829192,customer,1478,1487
57,attr,0.54646844,name,1489,1494
58,class,0.6692771,customer,1502,1511
59,attr,0.9724667,phone number,1513,1526
60,class,0.9773047,customer,1532,1541
61,class,0.952152,store,1564,1570
62,attr,0.9052034,rental ID number,1646,1663
63,class,0.65901875,rental transaction,1679,1698
64,class,0.679769,rental transaction,1704,1723
65,class,0.96768135,store,1773,1779
66,class,0.5938716,rental transaction,1785,1804
67,attr,0.6301905,rental date,1822,1834
68,attr,0.94710636,total rental amount,1838,1858
69,class,0.7310239,rental transaction,1864,1883
70,class,0.7909212,rental transaction detail,1914,1940
71,class,0.84038794,rental transaction,1952,1971
72,attr,0.69825214,id,1996,1999
73,class,0.9179497,cartridge,2006,2016
74,attr,0.9632418,due date,2034,2043
75,class,0.89334846,cartridge,2050,2060
76,attr,0.9182599,actual return date,2082,2101
