,entity_group,score,word,start,end
0,attr,0.69078445,properties,105,116
1,attr,0.7950935,chemistry,127,137
2,attr,0.8690838,mineralogy,138,149
3,attr,0.980572,age,150,154
4,attr,0.82658774,petrophysical properties,159,184
5,attr,0.97553015,density,189,197
6,attr,0.93184847,porosity,198,207
7,attr,0.83997285,permeability,208,221
8,attr,0.8985329,location information,394,415
9,class,0.85400677,sample,436,443
10,attr,0.47966266,properties,705,716
11,class,0.46732438,sample,857,863
12,attr,0.96766376,particle size,888,902
13,attr,0.93923736,density,903,911
14,attr,0.9358643,magnetic properties,912,932
15,attr,0.7565873,location,1047,1056
16,attr,0.45944846,location,1107,1116
17,attr,0.85712683,location information,1244,1265
18,class,0.54701924,lab,1498,1502
19,class,0.552398,system,1524,1531
20,attr,0.7623553,local identifier,1560,1577
21,class,0.8687763,sample,1585,1592
22,class,0.5262787,observations,1619,1632
23,class,0.46067935,observations,1667,1680
24,class,0.7805217,sample,1776,1783
25,class,0.5746581,location,1881,1890
26,class,0.93437445,specimen,1907,1916
27,attr,0.5927124,Sample,2081,2088
28,class,0.6618116,samples,2143,2151
29,class,0.5602134,samples,2160,2168
30,attr,0.6937317,geographic,2233,2244
31,attr,0.518305,locations,2256,2266
32,attr,0.8609085,sampling time,2271,2285
33,attr,0.49009952,analysis,2289,2298
34,attr,0.713293,time,2312,2317
