,entity_group,score,word,start,end
0,class,0.7855424,supermarket,44,56
1,class,0.8338708,shelf,80,86
2,class,0.72117734,products,118,127
3,class,0.6565322,clients,133,141
4,class,0.5268683,customers,144,154
5,class,0.752169,supermarket,164,176
6,class,0.6323061,product,185,193
7,class,0.34154695,group,215,221
8,class,0.5554205,products,224,233
9,class,0.54867,employees,243,253
10,class,0.5384759,clients,275,283
11,class,0.5595921,products,360,369
12,class,0.9473296,basket,385,392
13,class,0.53710085,goods,404,410
14,attr,0.95600736,price,435,441
15,attr,0.98602176,expiration date,442,458
16,attr,0.9356959,ingredients,463,475
17,class,0.74192035,cashier,491,499
18,class,0.92939246,cashier,545,553
19,class,0.91381085,machine,582,590
20,class,0.6496492,group,610,616
21,class,0.9322994,product,623,631
22,class,0.6979242,controller,662,673
23,class,0.91337115,product,685,693
24,class,0.9290039,cashier,719,727
25,class,0.80471236,transactions,742,755
26,class,0.82988286,client,784,791
27,class,0.49705797,customer,792,800
28,class,0.71756715,machine,817,825
29,class,0.9003743,customer,838,847
30,attr,0.9150013,total,847,853
31,class,0.8512037,invoice,891,899
32,class,0.95563585,customer,908,917
33,class,0.63453466,client,920,927
34,class,0.8968764,customer,972,981
35,class,0.6058682,service,1006,1014
36,class,0.89957213,customer,1098,1107
37,attr,0.40398365,orders,1211,1218
38,class,0.819158,proforma invoice,1233,1250
39,class,0.9806527,order,1282,1288
40,class,0.952847,customer,1323,1332
41,class,0.65555805,product,1353,1361
42,attr,0.799112,total,1381,1387
43,class,0.8293936,customer,1413,1422
44,class,0.95332026,customer,1469,1478
45,class,0.72079754,cashier,1499,1507
46,class,0.75177675,cashier,1520,1528
47,class,0.9536698,customer,1552,1561
48,class,0.5778371,invoice,1569,1577
