,sentence,useful
0,"The clinic basically schedules patients, provides services for them, and bills them for those services",1
1," New patients fill out a form listing their name, address, telephone numbers, allergies, and state of mind prior to scheduling their first appointment",1
2, Existing patients are normally scheduled for their next appointment as they depart from their current appointment,0
3," When the office staff forget to do this, a desk worker has to call the patient to set up a date",1
4, Schedules are entered into a central appointment book; patient records (including contact information) are kept in paper files,1
5," Appointments are for one of three procedures: dental hygiene, cavities and fillings, and oral surgery (including root canals and tooth extractions)",0
6, For each procedure the patient needs to be prepared and supplies need to be collected (e,0
7,g,0
8,", probes, drill bits, cements, resins, etc",0
9,),0
10," For a hygienist's appointment, preparation could be as simple as seating the patient in dental chair and putting a bib around his or her neck",0
11," For oral surgery, anesthesia of various strengths are normally administered prior to operation",0
12, Only for oral surgery procedures is it necessary to ask the patient to wait for up to twenty minutes before performing a post-operative check,0
13," Billing is always done by the month, and bills are always sent by mail to patients' contact addresses",0
14, Checks are received by mail,0
15, HMO-funded patients are asked to make a copayment at the time that they leave the office,1
16, Each patient also generates a reimbursement request to an insurance company,0
17, Insurance companies and HMOs send their checks by mail three months after receiving a reimbursement request,0
18, The clinic maintains a supplies inventory file that a worker fills out once a week by physically inspecting each of the three procedures rooms,1
19, Supplies and tools are stored in a standard layout in each room,0
