,entity_group,score,word,start,end
0,attr,0.99776316,storeID,9,17
1,class,0.99451256,store,33,39
2,class,0.99268204,store,74,80
3,attr,0.9987556,store,87,93
4,attr,0.9519824,address,93,101
5,attr,0.99963576,phone number,105,118
6,attr,0.99459946,employee ID,122,134
7,class,0.9967535,employee,150,159
8,class,0.99918824,employee,192,201
9,attr,0.9972475,employee,208,217
10,attr,0.98472494,name,219,224
11,attr,0.9995085,address,225,233
12,attr,0.9992653,phone number,238,251
13,class,0.99878556,employee,257,266
14,attr,0.9810327,phone numbers,303,317
15,class,0.9953675,employee,323,332
16,attr,0.9971818,phone number,334,347
17,attr,0.9834871,phone number type,366,384
18,attr,0.97347575,office phone number,396,416
19,attr,0.99800545,home phone number,417,435
20,attr,0.89448744,beeper number,436,450
21,class,0.99810696,employee,461,470
22,attr,0.90543175,type,491,496
23,class,0.9754007,employee,499,508
24,class,0.76522326,manager,511,518
25,class,0.92968035,cashier,522,529
26,class,0.38664097,stock,536,541
27,attr,0.7553184,employee type,547,561
28,class,0.74356955,manager,571,578
29,class,0.934077,cashier,582,589
30,class,0.8841538,stocker,596,603
31,class,0.9994474,employees,622,632
32,attr,0.9967924,titles,670,677
33,attr,0.99264586,title ID,682,691
34,attr,0.79169613,title,724,730
35,attr,0.9992305,title,743,749
36,attr,0.98504674,name,751,756
37,attr,0.9846752,run time,757,766
38,attr,0.9994642,rating,792,799
39,class,0.8734353,distributors,848,861
40,attr,0.9986304,distributor ID,864,879
41,class,0.9965062,distributor,911,923
42,attr,0.9618772,distributor,936,948
43,attr,0.97563136,name,950,955
44,attr,0.9995051,phone number,959,972
45,class,0.9984302,stores,978,985
46,attr,0.9852513,title,997,1003
47,class,0.9867306,store,1006,1012
48,attr,0.9895292,title,1084,1090
49,attr,0.9995374,cartridge ID number,1094,1114
50,class,0.97637504,cartridge,1130,1140
51,attr,0.9266742,cartridge,1143,1153
52,attr,0.8112267,utilization count,1153,1171
53,class,0.9946595,cartridge,1199,1209
54,attr,0.8336815,cartridge,1212,1222
55,attr,0.5358794,status,1222,1229
56,class,0.9893617,cartridge,1245,1255
57,attr,0.8470664,cartridge status,1270,1287
58,attr,0.88741875,Available,1290,1300
59,attr,0.9703939,Rented,1304,1310
60,attr,0.68815017,Broken,1318,1324
61,attr,0.99701345,status type,1328,1340
62,class,0.99866235,cartridges,1358,1369
63,attr,0.9964468,customer ID,1379,1391
64,class,0.9982205,customer,1407,1416
65,class,0.99963474,customer,1462,1471
66,attr,0.9962364,customer,1478,1487
67,attr,0.8140731,name,1489,1494
68,attr,0.9781586,customer,1502,1511
69,attr,0.9978478,phone number,1513,1526
70,class,0.9996598,customer,1532,1541
71,class,0.9817955,store,1564,1570
72,attr,0.9994998,rental ID number,1646,1663
73,class,0.87008965,rental transaction,1679,1698
74,class,0.9035851,rental,1704,1711
75,class,0.6962403,transaction,1711,1723
76,class,0.9996338,store,1773,1779
77,class,0.838833,rental,1785,1792
78,class,0.49059078,transaction,1792,1804
79,attr,0.99091077,rental date,1822,1834
80,attr,0.9989812,total rental amount,1838,1858
81,class,0.9288379,rental,1864,1871
82,class,0.7088226,transaction,1871,1883
83,class,0.7517954,rental transaction detail lines,1914,1946
84,class,0.8477072,rental,1952,1959
85,attr,0.5956458,transaction detail,1959,1978
86,attr,0.99854374,id,1996,1999
87,class,0.7364634,cartridge,2006,2016
88,attr,0.5367646,rented,2022,2029
89,attr,0.9991105,due date,2034,2043
90,class,0.9448114,cartridge,2050,2060
91,attr,0.9989109,actual return date,2082,2101
