,entity_group,score,word,start,end
0,attr,0.9453284,Description,30,42
1,attr,0.962991,Priority,46,55
2,class,0.9992235,user,59,64
3,class,0.8691896,search,76,83
4,attr,0.98195446,term,83,88
5,attr,0.9246354,compatible,127,138
6,class,0.68183905,torrent websites,138,155
7,class,0.7989881,Results,281,289
8,class,0.99948514,query,298,304
9,class,0.99915504,torrent,329,337
10,class,0.6590125,tab,337,341
11,class,0.9991684,program,348,356
12,attr,0.9997589,website,401,409
13,attr,0.99888283,seeds,410,416
14,attr,0.9959954,peers,417,423
15,attr,0.99961394,size,424,429
16,attr,0.97432244,date posted,430,442
17,attr,0.99750215,link,449,454
18,class,0.99568385,Torrent search,495,510
19,class,0.9827245,search bar,530,541
20,class,0.68976283,streaming search,548,565
21,attr,0.99379987,seeds,569,575
22,attr,0.7591206,peers,579,585
23,attr,0.9966035,file,590,595
24,attr,0.699193,size,595,600
25,attr,0.97177076,date posted,605,617
26,attr,0.7583095,link to,624,632
27,attr,0.52159065,webpage,636,644
28,class,0.9934685,Results,646,654
29,attr,0.9997563,size,674,679
30,attr,0.9940737,date,680,684
31,attr,0.8903757,alphabetical order,685,703
32,class,0.99973935,user,774,779
33,class,0.99754995,results,795,803
