,entity_group,score,word,start,end
0,class,0.9394573,Geological samples,0,18
1,class,0.9655723,field,41,47
2,attr,0.54207134,properties,105,116
3,attr,0.99672925,chemistry,127,137
4,attr,0.9983367,mineralogy,138,149
5,attr,0.99965465,age,150,154
6,attr,0.8589926,petrophysical properties,159,184
7,attr,0.9998031,density,189,197
8,attr,0.99949217,porosity,198,207
9,attr,0.998919,permeability,208,221
10,attr,0.99933493,location information,394,415
11,class,0.9998185,sample,436,443
12,class,0.9980909,lab,466,470
13,class,0.48915794,derived,552,560
14,class,0.8130978,samples,560,568
15,class,0.5277333,derived,649,657
16,class,0.66558707,samples,657,665
17,class,0.7917228,sub-samples,676,688
18,class,0.9423047,sample,815,822
19,class,0.9973332,sub-sample,852,863
20,attr,0.9084971,particle size,888,902
21,attr,0.9996562,density,903,911
22,attr,0.9985722,magnetic properties,912,932
23,class,0.75262636,derived,956,964
24,class,0.72777987,sample,964,971
25,attr,0.89424366,parent,978,985
26,class,0.9821295,sample,985,992
27,class,0.62463415,parent,1033,1040
28,attr,0.9819458,location,1047,1056
29,attr,0.9213567,location,1107,1116
30,attr,0.99657273,location information,1244,1265
31,class,0.99781966,samples,1293,1301
32,class,0.9997327,lab,1498,1502
33,class,0.9991913,LIMS system,1519,1531
34,attr,0.9952604,local identifier,1560,1577
35,class,0.99948055,sample,1585,1592
36,class,0.9833319,observations,1667,1680
37,class,0.9741967,labs,1695,1700
38,class,0.99925035,sample,1776,1783
39,class,0.9714055,location,1881,1890
40,class,0.99953485,specimen,1907,1916
41,class,0.9262999,sub-samples,2038,2050
42,attr,0.7588078,Sample,2081,2088
43,class,0.9976745,samples,2143,2151
44,class,0.99392325,samples,2160,2168
45,attr,0.97920734,geographic,2233,2244
46,attr,0.9957905,sampling time,2271,2285
47,attr,0.8287218,analysis,2289,2298
48,attr,0.9711368,time,2312,2317
