,entity_group,score,word,start,end
0,attr,0.99301857,addresses,11,21
1,attr,0.99895704,house name,34,45
2,attr,0.999567,number,48,55
3,class,0.93976665,clients,74,82
4,attr,0.99982554,city,90,95
5,attr,0.9997358,town,98,103
6,attr,0.9983546,city,187,192
7,attr,0.99819076,house name,212,223
8,attr,0.9923496,zip codes,257,267
9,attr,0.9976765,postal codes,270,283
10,class,0.93086714,organization,409,422
11,attr,0.99814,contact,454,462
12,class,0.99976236,client,520,527
13,attr,0.6769304,representative,530,545
14,class,0.9927959,organization,551,564
15,attr,0.99834543,full name,592,602
16,attr,0.5196057,honorific,628,638
17,attr,0.9995842,email address,664,678
18,attr,0.9997878,phone number,679,692
19,attr,0.9979559,postal address,697,712
20,attr,0.99840736,primary mailing address,737,761
21,attr,0.9845258,billing address,794,810
22,class,0.9907664,event,911,917
