,entity_group,score,word,start,end
0,attr,0.808941,rental stock,4,17
1,class,0.9856908,vehicles,43,52
2,attr,0.42367327,trailers,90,99
3,class,0.7307176,system,123,130
4,class,0.71472955,rental agreements,143,161
5,class,0.6341387,vehicle,169,177
6,attr,0.97699445,assignments,177,189
7,class,0.9916905,rental office,195,209
8,class,0.9098888,vehicles,215,224
9,class,0.9664048,customers,251,261
10,class,0.9912777,vehicle,293,301
11,class,0.57440865,central,306,314
12,class,0.9258614,vehicle,334,342
13,class,0.9962298,vehicles,381,390
14,class,0.99604154,rental office,399,413
15,class,0.9874847,rental office,430,444
16,attr,0.7396187,office,451,458
17,attr,0.49250072,name,458,463
18,class,0.99592835,office,496,503
19,attr,0.9880598,office number,533,547
20,class,0.9501653,office,566,573
21,attr,0.99958366,address,575,583
22,class,0.99178654,office,589,596
23,class,0.9977957,vehicles,629,638
24,class,0.99800843,vehicle,648,656
25,class,0.8474161,home office,681,693
26,class,0.99386096,vehicle,699,707
27,attr,0.9991375,vehicle id,713,724
28,attr,0.99882585,state of registration,725,747
29,attr,0.9814101,license plate,754,768
30,attr,0.99141955,registration number,768,788
31,class,0.95327246,vehicles,821,830
32,attr,0.91682535,covered,869,877
33,class,0.9971578,vehicles,921,930
34,attr,0.9866692,last,952,957
35,attr,0.9186477,maintenance date,957,974
36,attr,0.9991963,expiration date,979,995
37,attr,0.99814665,registration,1002,1015
38,class,0.48772043,trucks,1024,1031
39,attr,0.99873143,odometer reading,1060,1077
40,attr,0.9632954,gas tank capacity,1082,1100
41,class,0.47785434,radio,1137,1143
42,class,0.72793055,rental agreements,1156,1174
43,class,0.99707127,customers,1193,1203
44,class,0.9842293,rental agreement,1210,1227
45,class,0.98338586,company,1292,1300
46,attr,0.6005009,identifying,1303,1315
47,attr,0.9615191,company number,1315,1330
48,attr,0.9868249,company,1344,1352
49,attr,0.99729687,name,1354,1359
50,attr,0.9992385,address,1363,1371
51,class,0.6017512,sales,1386,1392
52,class,0.99940526,customer,1459,1468
53,attr,0.81266975,customer,1483,1492
54,attr,0.98032105,name,1494,1499
55,attr,0.97761226,home phone,1500,1511
56,attr,0.9986085,address,1512,1520
57,attr,0.9990088,driver,1525,1532
58,attr,0.8845295,s license,1533,1542
59,attr,0.9998299,state,1542,1548
60,attr,0.5065849,number,1549,1556
61,attr,0.99937284,expiration date,1561,1577
62,class,0.9965795,rental agreement,1635,1652
63,class,0.98402464,rental agreement,1677,1694
64,class,0.99970967,vehicle,1703,1711
65,class,0.9113267,rental agreement,1717,1734
66,attr,0.96668106,originating rental office number,1755,1788
67,attr,0.9985301,rental agreement number,1794,1818
68,attr,0.9872633,rental date,1845,1857
69,attr,0.98199344,anticipated,1862,1874
70,attr,0.9955297,duration,1874,1883
71,attr,0.9391874,rental,1890,1897
72,attr,0.80001277,originating rental office,1902,1928
73,attr,0.8835801,drop,1933,1938
74,class,0.36988807,-,1938,1939
75,class,0.7676855,rental office,1942,1956
76,attr,0.9849178,amount,1961,1968
77,attr,0.7502136,deposit paid,1975,1988
78,attr,0.9436618,quoted,1993,2000
79,attr,0.9917186,daily rental rate,2000,2018
80,attr,0.8080744,quoted rate per mile,2027,2048
