,entity_group,score,word,start,end
0,class,0.99006796,reservation,70,82
1,class,0.98303187,reservation,85,97
2,attr,0.9994814,time,120,125
3,attr,0.9978738,date,126,131
4,attr,0.93950504,number of people,135,152
5,class,0.99718314,reservation,157,169
6,attr,0.99915695,name,187,192
7,attr,0.9997225,phone number,196,209
8,class,0.8047527,person,216,223
9,class,0.9888925,reservation,234,246
10,class,0.9955243,reservation,252,264
11,attr,0.9955679,reservation number,285,304
12,attr,0.67810094,categories,319,330
13,class,0.7082736,reservations,333,346
14,attr,0.45033056,reservation,420,432
15,class,0.98456925,reservation,480,492
16,attr,0.9997719,seating preference,501,520
17,attr,0.956774,patio,531,537
18,attr,0.9961622,smoking preference,542,561
19,attr,0.43082127,reservation,597,609
20,class,0.82414377,banquet reservations,634,655
21,attr,0.9603858,group name,668,679
22,attr,0.91683674,method of payment,687,705
23,class,0.5628739,table,711,717
24,attr,0.99814224,table number,743,756
25,class,0.978044,tables,769,776
26,class,0.583177,fountain,895,904
27,class,0.77312535,kitchen,914,922
28,class,0.9777393,table,934,940
29,class,0.6598767,table,990,996
30,class,0.99754035,reservation,1004,1016
31,attr,0.9991942,number,1054,1061
32,class,0.9933658,reservation,1068,1080
33,class,0.80955553,restaurant managers,1099,1119
34,class,0.8971838,managers,1145,1154
35,class,0.6756214,tre,1191,1194
36,class,0.92394555,chefs,1204,1210
37,class,0.9843577,guests,1239,1246
38,class,0.69441384,Chefs,1369,1375
39,class,0.72419316,cooks,1408,1414
40,class,0.66634315,dishwashers,1418,1430
41,class,0.84970075,manager,1495,1503
42,class,0.5647357,chef,1533,1538
43,class,0.5208141,dishwasher,1559,1570
44,class,0.925364,person,1626,1633
45,attr,0.60469383,persons,1646,1654
46,attr,0.99007404,name,1654,1659
47,attr,0.96388704,date of,1660,1668
48,attr,0.894403,birth,1668,1674
49,attr,0.99777156,drivers license number,1678,1701
50,class,0.99046445,waiter,1704,1711
51,class,0.99814713,reservations,1735,1748
52,class,0.6712558,menu,1830,1835
53,attr,0.65042585,item,1835,1840
54,attr,0.9906716,menu item number,1866,1883
55,class,0.8049928,menu item,1928,1938
56,attr,0.87371564,item description,1950,1967
57,attr,0.95806485,item prep time,1980,1995
58,class,0.8100322,menu item,2001,2011
59,class,0.64878213,appe,2042,2046
60,class,0.43019766,izer,2047,2051
61,attr,0.9553636,price,2092,2098
62,class,0.87086624,menu item,2106,2116
63,attr,0.9236702,time,2138,2143
64,class,0.76709145,menu items,2176,2187
65,class,0.9874735,waiter,2289,2296
66,attr,0.99888355,reservation number,2317,2336
67,attr,0.84296286,menu items,2344,2355
68,attr,0.9401889,ordered,2355,2363
69,attr,0.9867498,time,2371,2376
70,class,0.95954895,menu,2385,2390
71,attr,0.6264288,item,2390,2395
72,attr,0.5072975,ordered,2399,2407
73,class,0.99716115,reservation,2429,2441
74,class,0.7533499,menu items,2469,2480
75,class,0.78702414,menu item,2486,2496
76,class,0.9978194,reservations,2524,2537
77,class,0.42691368,menu,2553,2558
78,class,0.9829533,restaurant,2634,2645
79,class,0.91064066,menu items,2762,2773
80,class,0.58759904,food,2779,2784
81,attr,0.589936,item,2784,2789
82,attr,0.895444,food item number,2815,2832
