,entity_group,score,word,start,end
0,class,0.79363835,card,107,112
1,class,0.4737695,cards,115,121
2,class,0.8324025,customers,149,159
3,class,0.79518145,card,173,178
4,class,0.9003835,account,436,444
5,class,0.9137572,Customer,687,696
6,class,0.5995623,Users,696,702
7,class,0.60020834,cards,725,731
8,class,0.85456055,card,808,813
9,class,0.5445966,system,863,870
10,attr,0.9210192,card status,887,899
11,class,0.905673,user,908,913
12,class,0.921273,card,932,937
13,class,0.86604786,user,942,947
14,class,0.48467094,card,964,969
15,attr,0.9034605,card status,993,1005
16,class,0.6395309,system,1057,1064
17,attr,0.7698567,reason,1083,1090
18,attr,0.593554,reasons,1168,1176
19,class,0.8522473,user,1184,1189
20,class,0.8263126,user,1197,1202
21,class,0.49073395,system,1237,1244
22,class,0.87191916,user,1307,1312
23,class,0.65886784,system,1357,1364
24,class,0.91485727,user,1383,1388
25,class,0.92558825,card,1400,1405
26,class,0.8994856,card,1419,1424
27,class,0.72567064,system,1450,1457
28,class,0.5888008,banking staff,1475,1489
29,class,0.95790327,cardholder,1493,1504
