,entity_group,score,word,start,end
0,class,0.8460537,user,59,64
1,attr,0.6854769,search term,76,88
2,class,0.7433573,User,406,411
3,class,0.7125937,torrent,421,429
4,class,0.6367903,box,434,438
5,class,0.86639386,system,444,451
6,class,0.63740003,torrent,470,478
7,class,0.65422773,search,510,517
8,class,0.8375206,user,533,538
9,attr,0.8286617,search term,549,561
10,class,0.83904797,system,585,592
11,class,0.6160048,torrent,613,621
12,attr,0.41672403,search term,659,671
13,class,0.5736028,query,689,695
14,class,0.8276034,torrent,720,728
15,class,0.6065263,program,739,747
16,attr,0.9301303,website,792,800
17,attr,0.88940394,seeds,801,807
18,attr,0.9091924,peers,808,814
19,attr,0.95980716,size,815,820
20,attr,0.8916116,date posted,821,833
21,attr,0.9184349,link,840,845
22,class,0.46518344,webpage,853,861
23,class,0.7550341,user,866,871
24,attr,0.76284367,column,918,925
25,class,0.49439678,system,938,945
26,class,0.6527767,results,955,963
27,class,0.64188725,user,998,1003
28,class,0.5474017,system,1040,1047
29,class,0.6178354,search,1088,1095
30,class,0.592387,search,1155,1162
31,class,0.61979675,streaming,1173,1183
32,class,0.8138804,user,1299,1304
33,class,0.84804803,torrent,1325,1333
34,attr,0.73810285,no of,1386,1393
35,attr,0.6079001,seeds,1393,1399
36,attr,0.7838082,peers,1403,1409
37,attr,0.89559495,file size,1414,1424
38,attr,0.9043462,date posted,1429,1441
39,attr,0.81823045,link,1448,1453
40,class,0.5780763,search,1498,1505
41,attr,0.95633334,size,1603,1608
42,attr,0.88384527,date,1609,1613
43,attr,0.6576612,alphabet,1614,1622
44,attr,0.6641194,order,1626,1632
45,class,0.72168076,user,1703,1708
