,entity_group,score,word,start,end
0,class,0.7671671,patients,30,39
1,class,0.51291484,form,127,132
2,attr,0.93597335,name,146,151
3,attr,0.9768761,address,152,160
4,attr,0.97997177,telephone numbers,161,179
5,attr,0.9513539,allergies,180,190
6,attr,0.8734546,state of mind,195,209
7,attr,0.4978381,Schedules,254,264
8,class,0.5615592,appointment book,291,308
9,class,0.69367945,patient records,309,325
10,attr,0.9706358,contact information,336,356
11,class,0.5898871,Appointments,382,395
12,class,0.60858566,procedure,540,550
13,class,0.7590494,patient,554,562
14,class,0.78432876,patients,742,751
15,attr,0.7516352,contact addresses,752,770
16,class,0.5082438,patients,811,820
17,class,0.86232096,patient,895,903
18,class,0.545908,request,934,942
19,class,0.6242852,insurance,948,958
20,class,0.7504145,reimbursement request,1053,1075
21,class,0.74270046,clinic,1080,1087
22,class,0.4652273,supplies inventory,1099,1118
23,class,0.44255114,procedures,1202,1213
24,class,0.43169808,rooms,1213,1219
25,class,0.7338492,room,1279,1284
