,entity_group,score,word,start,end
0,attr,0.6812855,properties,105,116
1,attr,0.7814478,chemistry,127,137
2,attr,0.8604738,mineralogy,138,149
3,attr,0.9783638,age,150,154
4,attr,0.7949706,petrophysical properties,159,184
5,attr,0.97279704,density,189,197
6,attr,0.9282362,porosity,198,207
7,attr,0.8282,permeability,208,221
8,attr,0.88504046,concentration,466,480
9,attr,0.7340883,chemical species,494,511
10,attr,0.916834,location information,562,583
11,class,0.8470967,sample,604,611
12,attr,0.45929492,properties,873,884
13,class,0.45474932,sample,1025,1031
14,attr,0.9616369,particle size,1056,1070
15,attr,0.93125427,density,1071,1079
16,attr,0.9312376,magnetic properties,1080,1100
17,attr,0.75306535,location,1215,1224
18,attr,0.4513907,location,1275,1284
19,attr,0.8652539,location information,1412,1433
20,class,0.53585786,lab,1666,1670
21,class,0.5128534,system,1692,1699
22,attr,0.75708807,local identifier,1728,1745
23,class,0.84274554,sample,1753,1760
24,class,0.509119,observations,1787,1800
25,class,0.45208734,observations,1835,1848
26,class,0.7749117,sample,1944,1951
27,class,0.5672273,location,2049,2058
28,class,0.9297694,specimen,2075,2084
29,attr,0.5832669,Sample,2249,2256
30,class,0.6640341,samples,2311,2319
31,class,0.56447995,samples,2328,2336
32,attr,0.69802904,geographic,2401,2412
33,attr,0.5066329,locations,2424,2434
34,attr,0.86185956,sampling time,2439,2453
35,attr,0.48774216,analysis,2457,2466
36,attr,0.72011906,time,2480,2485
