,sentence,useful
0,"Analyst: Do you run into any challenges with international addresses, given the wide variation in address formats? AP: Actually, that is a constant source of confusion and pain",0
1," We have had several situations where, due to an incorrect address format, the client did not receive correspondence",1
2," Analyst: Can you give me some examples of this? AP: Yes, one happened recently",0
3," Sometimes, addresses start with a house name or number, but some overseas clients put the city or town first",1
4," Imagine the confusion of sending something to Paris which we thought was the city but was in fact the house name! The other issue is that overseas zip codes or postal codes, as they are sometimes called, are not always numeric—they can be a combination of numbers and letters",1
5, Analyst: Tell me about the process when you take on a new client,0
6," What information do you initially record about that person? AP: Remember, it’s not always an individual; it could be an organization",0
7," Analyst: When it’s an organization, do you always need to know the contact? AP: Yes, and sometimes there are more than one",1
8," For each client or representative of an organization, I need to write down their full name and how they prefer their honorific: Mr",1
9,", Ms",1
10,", Mrs",1
11,", Dr",1
12,", etc",1
13," And of course, their email address, phone number, and postal address, and sometimes we have a primary mailing address that could be different from the billing address",1
14," Analyst: Could you have a situation where multiple people have the same address? AP: This does happen, for example, when we contact different employees in the same office",0
15," Analyst: What are your other responsibilities, apart from creating cases? AP: As a case progresses, I need to record all the individuals and organizations that take part in the case activities and the specific role they play",1
16, Analyst: Is it possible for an individual or organization to participate in multiple actions or events in different cases? AP: Yes,0
17," Not only that, but some may play different roles within the same case",1
18," For example, the same party can be both the defendant and witness in the same case",1
19," Analyst: So, what are these different types of roles a party can play? AP: Plaintiff, witness, defendant, judge, an expert in some field, or an attorney",1
20, Analyst: Can your firm’s attorneys or judges be considered as parties to the case? AP: Absolutely,1
21, And I must record the information about their involvement as well,1
22, Analyst: Please tell me about events that occur,0
23," What information do you record? AP: All attorneys and legal assistants record their own activities, which include the date and time when an activity occurred, a short description, and a duration, and in the case of witnesses, defendants, and judges, a list of who was involved",0
24, We also need to indicate if this event is billable or not,1
25," Analyst: Is there anything else you record for cases? AP: Yes, we need to know which documents were used in a case",0
