,sentence,useful
0,Romano's is the finest Italian restaurant in the city,0
1, Unless you are a celebrity or a good friend of Romano you will need a reservation,1
2," A reservation is made for a specific time, date and number of people",1
3, The reservation also captures the name and phone number of the person making the reservation,1
4, Each reservation is assigned a unique reservation number,1
5, There are two categories of reservations at Romano's: individual reservations and banquet reservations,1
6, Additional reservation information captured when an individual makes a reservation includes seating preference (inside or patio) and smoking preference (smoking or nonsmoking),1
7, Additional reservation information captured for banquet reservations includes the group name and the method of payment,1
8, Seating at Romano's is limited,0
9, Romano's has a fixed number of tables,1
10, Each table is identified by a unique table number,1
11," Each of the tables is further described by a unique free form description such as ""located by the North window"", ""located in front of the fountain"", ""by the kitchen door""",1
12," Each table is classified as a 2-person, 4-person or 6-person table",1
13," When a reservation is made, Romano associates a specific number to the reservation",1
14, A table can be utilized many times over the evening by many reservations,1
15, Romano tends to overbook tables,0
16," Therefore, there can be overlapping table reservations",1
17, The management structure at Romano's is hierarchical,0
18, There are several restaurant managers who report to Romano,1
19, The managers are responsible for managing the Maitre'd and the chefs as well as ensuring that the guests have a pleasant dining experience,1
20," The Maitre'd is responsible for managing the waiters, bartenders and bus personnel",1
21, The Chefs are responsible for managing the cooks and dishwashers,1
22," Each person working for Romano's must be classified as either a manager, Maitre'd, waiter, bartender, chef, cook, bus person or dishwasher",1
23," Additional information maintained by Romano's for each person includes the persons name, date of birth and drivers license number",1
24, When the reservation party arrives at Romano's the reservation is assigned to one waiter,1
25," A waiter can be assigned to many reservations during the course of the evening""",1
26, The menu at Romano's is exquisite,1
27, There are many exciting and exotic items,1
28, Each menu item is identified by a unique menu item number,1
29, Information maintained by Romano's for each menu item includes an item description of (e,1
30,g,1
31," ""chicken marsala"", ""fish soup"", ""endive salad"",""1988 Merlot wine"", etc",1
32,"), and item prep time",1
33," Each menu item is classified by Romano's as ""appetizer"", ""entree"", ""dessert"" or ""beverage""",1
34, The price of each menu item can vary based on the time of day,1
35," For example, some of the menu items have different lunch and dinner prices",1
36, Some of the menu items change prices for happy hour,1
37," In order to calculate the check at the end of the dinner, the waiter maintains a list, by reservation number, of the menu items ordered and the time that the menu item was ordered",1
38," In other words, each reservation can be associated with many menu items and a menu item can be associated with many reservations",1
39," In addition to menu items, Romano's maintains a list of the food items that are utilized by the restaurant such as chicken, mushrooms, bread sticks, red sauce, cream sauce, etc",1
40, Food items are utilized in the preparation of menu items,1
41, Each food item is identified by a unique food item number,1
