,entity_group,score,word,start,end
0,class,0.77011013,reservation,85,97
1,attr,0.9061436,time,120,125
2,attr,0.92025536,date,126,131
3,attr,0.84627765,number of people,135,152
4,class,0.85141015,reservation,157,169
5,attr,0.6850203,name,187,192
6,attr,0.95882833,phone number,196,209
7,class,0.7439262,reservation,234,246
8,class,0.8939195,reservation,252,264
9,attr,0.95752835,reservation number,285,304
10,attr,0.49387348,reservation,420,432
11,class,0.73419815,reservation,480,492
12,attr,0.9567399,seating preference,501,520
13,attr,0.7694227,smoking preference,542,561
14,attr,0.9700407,group name,668,679
15,attr,0.88779277,method of payment,687,705
16,class,0.5344376,tables,737,744
17,class,0.7671597,table,750,756
18,attr,0.9515104,table number,782,795
19,class,0.48753828,tables,808,815
20,class,0.73809767,table,973,979
21,class,0.86365324,reservation,1043,1055
22,attr,0.77609074,number,1093,1100
23,class,0.915928,reservation,1107,1119
24,class,0.92496717,table,1122,1128
25,class,0.6642712,reservations,1180,1193
26,class,0.4577043,table reservations,1230,1249
27,class,0.65852547,restaurant managers,1268,1288
28,class,0.5153317,managers,1314,1323
29,class,0.62962943,guests,1408,1415
30,class,0.5264665,manager,1664,1672
31,class,0.53064317,person,1795,1802
32,attr,0.47575828,name,1823,1828
33,attr,0.8565267,date of birth,1829,1843
34,attr,0.95355135,drivers license number,1847,1870
35,class,0.5483638,reservation party,1880,1898
36,class,0.9068596,reservation,1922,1934
37,class,0.90295225,waiter,1953,1960
38,class,0.92099553,waiter,1963,1970
39,class,0.8633547,reservations,1994,2007
40,attr,0.8206213,menu item number,2160,2177
41,attr,0.84897095,item description,2244,2261
42,attr,0.7283589,item prep time,2348,2363
43,class,0.35733718,tree,2425,2429
44,attr,0.35301143,beverage,2446,2454
45,class,0.6932603,waiter,2710,2717
46,attr,0.96754736,reservation number,2738,2757
47,attr,0.60045016,time,2792,2797
48,class,0.548818,menu,2806,2811
49,attr,0.40440112,item,2811,2816
50,class,0.9082561,reservation,2850,2862
51,class,0.45934263,menu,2890,2895
52,class,0.45644975,menu item,2907,2917
53,class,0.7279984,reservations,2945,2958
54,attr,0.52842057,food,3019,3024
55,class,0.514309,food,3200,3205
56,attr,0.7647932,food item number,3236,3253
