,entity_group,score,word,start,end
0,class,0.7769692,reservation,85,97
1,attr,0.9308051,time,120,125
2,attr,0.9329811,date,126,131
3,attr,0.89280075,number of people,135,152
4,class,0.81633306,reservation,157,169
5,attr,0.70762086,name,187,192
6,attr,0.9737794,phone number,196,209
7,class,0.7014355,reservation,234,246
8,class,0.8872089,reservation,252,264
9,attr,0.9711317,reservation number,285,304
10,attr,0.5754995,reservation,420,432
11,class,0.74416274,reservation,480,492
12,attr,0.9722444,seating preference,501,520
13,attr,0.825018,smoking preference,542,561
14,attr,0.96408284,group name,668,679
15,attr,0.85803777,method of payment,687,705
16,class,0.8295769,table,711,717
17,attr,0.95436543,table number,743,756
18,class,0.59131354,tables,769,776
19,class,0.81384134,table,934,940
20,class,0.87532777,reservation,1004,1016
21,attr,0.7258183,number,1054,1061
22,class,0.9149926,reservation,1068,1080
23,class,0.67242765,restaurant managers,1099,1119
24,class,0.5008824,managers,1145,1154
25,class,0.58439904,guests,1239,1246
26,class,0.52455294,manager,1495,1503
27,class,0.550236,person,1626,1633
28,attr,0.48002645,name,1654,1659
29,attr,0.845174,date of birth,1660,1674
30,attr,0.9561677,drivers license number,1678,1701
31,class,0.77808344,waiter,1704,1711
32,class,0.7500408,reservations,1735,1748
33,attr,0.8333419,menu item number,1866,1883
34,attr,0.89141196,item description,1950,1967
35,attr,0.7587201,item prep time,1980,1995
36,class,0.36098975,tree,2057,2061
37,attr,0.34921333,beverage,2078,2086
38,class,0.691457,waiter,2289,2296
39,attr,0.9686177,reservation number,2317,2336
40,attr,0.6341848,time,2371,2376
41,class,0.5765631,menu,2385,2390
42,attr,0.3946443,item,2390,2395
43,class,0.900725,reservation,2429,2441
44,class,0.4897781,menu,2469,2474
45,class,0.49358588,menu item,2486,2496
46,class,0.7055304,reservations,2524,2537
47,attr,0.50204945,food,2598,2603
48,class,0.4704863,food item,2779,2789
49,attr,0.7628422,food item number,2815,2832
